country_code,country_name,uner_total,uner_total_year,uner_female,uner_female_year,uner_male,uner_male_year
JAM,Jamaica,4.34133005142212,2024,4.3209400177002,2024.0,4.3610200881958,2024.0
JOR,Jordan,1.88620072476187,2024,1.64086990595611,2024.0,2.11907164480323,2024.0
JPN,Japan,0.068400003015995,2023,1.11786997318268,2013.0,1.16691994667053,2013.0
KAZ,Kazakhstan,7.91164247068207,2025,8.67497507227158,2025.0,7.17354400468231,2025.0
KEN,Kenya,32.8982475979253,2022,31.9300574933676,2022.0,33.853293743077,2022.0
KGZ,Kyrgyz Republic,2.9593377512549,2025,2.69532131686712,2025.0,3.20975496372778,2025.0
KHM,Cambodia,3.69075438538324,2024,4.60465499890882,2024.0,2.81314617919333,2024.0
KIR,Kiribati,8.70988867059594,2024,10.5791505791506,2024.0,6.87979263419376,2024.0
KNA,St. Kitts and Nevis,0.859950006008148,2008,7.06553983688354,1986.0,3.67384004592896,1986.0
KOR,"Korea, Rep.",0.0556599982082844,2024,1.21000003814697,2022.0,1.00223004817963,2022.0
KWT,Kuwait,7.46558493279106,2016,2.09021489545111,2016.0,12.0814909436311,2016.0
LAO,Lao PDR,10.3619170925725,2025,10.4000637142314,2025.0,10.3252329798693,2025.0
LBN,Lebanon,22.5125209192838,2024,22.3638019279681,2024.0,22.6543087912154,2024.0
LBR,Liberia,38.2539784581758,2022,37.2889658795632,2022.0,39.195765191705,2022.0
LBY,Libya,4.53779983520508,1983,5.06446981430054,1983.0,4.04426002502441,1983.0
LCA,St. Lucia,7.01242278188853,2024,6.40990371389271,2024.0,7.59951749095295,2024.0
LIC,Low income,24.1000003814697,2025,25.5,2025.0,22.7999992370606,2025.0
LIE,Liechtenstein,0.824760019779205,2021,1.82598996162415,2014.0,2.84809994697571,2014.0
LKA,Sri Lanka,9.13719724332715,2023,8.58696346333831,2023.0,9.66554912736511,2023.0
LMC,Lower middle income,8.30000019073486,2025,8.19999980926514,2025.0,8.5,2025.0
LSO,Lesotho,32.172439612713,2024,31.751741226198,2024.0,32.5893294680209,2024.0
LTU,Lithuania,0.129700005054474,2024,0.17790000140667,2003.0,0.0460899993777275,2003.0
LUX,Luxembourg,0.256379991769791,2024,0.409299999475479,2023.0,0.772319972515106,2023.0
LVA,Latvia,2.74000000953674,2024,2.23235988616943,2024.0,3.214359998703,2024.0
MAC,"Macao SAR, China",10.791569086651,2024,10.6323529411765,2024.0,10.9372197309417,2024.0
MAR,Morocco,0.471040654666576,2021,2.81553437693276,2019.0,3.46168192468219,2019.0
MDA,Moldova,0.462864098290279,2024,7.94416705128743,2013.0,7.91070511892383,2013.0
MDG,Madagascar,3.40053925974688,2024,0.127017177403418,2018.0,4.63004814247797,2018.0
MDV,Maldives,0.946476596321109,2024,1.81176694955659,2023.0,11.0906411201179,2023.0
MEX,Mexico,0.363240003585815,2024,,,,
MHL,Marshall Islands,1.47596135447218,2024,2.97651556526488,2016.0,8.7678936605317,2016.0
MIC,Middle income,11.3000001907349,2025,11.3000001907349,2025.0,11.3000001907349,2025.0
MKD,North Macedonia,3.79094004631042,2023,3.53301000595093,2023.0,4.0320200920105,2023.0
MLI,Mali,34.0078201293945,2023,37.2001113891602,2023.0,30.8877696990967,2023.0
MLT,Malta,2.6377899646759,2023,2.67303991317749,2023.0,2.60542011260986,2023.0
MMR,Myanmar,1.40907001495361,2010,0.596440017223358,2009.0,2.71999001502991,2009.0
MNE,Montenegro,0.21832999587059,2023,1.88952994346619,2016.0,0.67466002702713,2016.0
MNG,Mongolia,8.56374943861396,2024,7.82102760544715,2024.0,9.2592669249086,2024.0
MOZ,Mozambique,0.999974790698898,2022,4.83577790121939,2018.0,2.02733210814786,2018.0
MRT,Mauritania,11.2562378007474,2024,10.2978817140709,2024.0,12.1909752873644,2024.0
MUS,Mauritius,0.78536806902022,2024,1.3400803539643,2023.0,2.1310393704636,2023.0
MWI,Malawi,2.08900513013386,2022,1.51327002048492,2007.0,5.08581018447876,2007.0
MYS,Malaysia,11.9696349522189,2024,11.1034947066669,2024.0,12.7809372488755,2024.0
NAM,Namibia,0.865496521831131,2024,1.32365594218782,2012.0,2.70388878809089,2012.0
NCL,New Caledonia,7.42438983917236,1991,7.62693977355957,1991.0,7.22990989685059,1991.0
NER,Niger,40.4124014576017,2024,41.7297234295109,2024.0,39.1395101496106,2024.0
NGA,Nigeria,24.3187007904053,2023,25.4886207580566,2023.0,23.1828994750977,2023.0
NIC,Nicaragua,6.6563401222229,2023,6.49727010726929,2023.0,6.81082010269165,2023.0
